candidate,state,district,office,year,party,website_url,has_url,captured
Abraham Hamadeh,AZ,08,house,2024,R,https://www.abeforaz.com,True,True
Abraham Thomas Matthew,IL,03,house,2020,D,https://abematthew.com,True,False
Abraham Thomas Matthew,IL,03,house,2022,D,https://abematthew.com,True,False
Abraham Thomas Matthew,IL,03,house,2024,D,https://abematthew.com,True,False
Adair Ford Boroughs,SC,02,house,2020,D,https://www.adairforcongress.com,True,True
Adair Ford Boroughs,SC,02,house,2022,D,https://www.adairforcongress.com,True,False
Adam Alan Dombkowski,IN,01,house,2018,R,https://www.adamdombkowski.com,True,False
Adam Anthony Rodriguez,PA,17,house,2018,D,https://adamforpa.com,True,True
Adam Bola?Os Scow,CA,20,house,2020,D,https://adamscow.org,True,True
Adam Broad,IL,10,house,2020,D,https://adambroad2020.org,True,True
Adam Broad,IL,10,house,2022,D,https://newgreencongress.com,True,True
Adam C. Gray,CA,13,house,2022,D,https://www.adamgrayforcongress.com,True,False
Adam C. Gray,CA,13,house,2024,D,https://www.adamgrayforcongress.com,True,True
Adam Christopher Murphy,WI,00,senate,2022,D,https://www.murphyforwi.com,True,True
Adam Christopher Murphy,WI,00,senate,2024,D,https://www.murphyforwi.com,True,False
Adam Clay Miller,OH,15,house,2024,D,https://adammillerforamerica.com,True,True
Adam Clr Nation Bell,TX,03,house,2018,D,https://www.voteadambell.com,True,True
Adam Clr Nation Bell,TX,03,house,2020,D,https://www.voteadambell.com,True,False
Adam Clr Nation Bell,TX,03,house,2022,D,https://www.voteadambell.com,True,False
Adam Clr Nation Bell,TX,03,house,2024,D,https://www.voteadambell.com,True,True
Adam Coker,NC,13,house,2018,D,http://cokerforhouse.com,True,True
Adam Coker,NC,13,house,2020,D,http://cokerforhouse.com,True,False
Adam Coker,NC,13,house,2022,D,http://cokerforhouse.com,True,False
Adam Frisch,CO,03,house,2022,D,https://www.adamforcolorado.com,True,True
Adam Frisch,CO,03,house,2024,D,https://www.adamforcolorado.com,True,True
Adam Gentle,FL,25,house,2022,D,https://adamfordemocracy.com,True,True
Adam Gizinski,VA,10,house,2022,R,https://gizinskiforcongress.com,True,False
Adam Hansen,AZ,08,house,2018,R,https://hansenforamerica.com,True,True
Adam J Christensen,FL,03,house,2020,D,https://www.forthemanynotjustme.com/,True,True
Adam J Christensen,FL,03,house,2022,D,https://www.forthemanynotjustme.com/,True,True
Adam Joseph Gillard,CO,05,house,2024,D,https://adamgillard2congress.us,True,False
Adam Joshua King,IL,12,house,2018,D,https://kingforcongress2018.com,True,True
Adam Joshua King,IL,12,house,2020,D,https://kingforcongress2018.com,True,False
Adam Kinzinger,IL,16,house,2018,R,https://www.electadam.com,True,True
Adam Kinzinger,IL,16,house,2020,R,https://www.electadam.com,True,True
Adam Kinzinger,IL,16,house,2022,R,https://www.electadam.com,True,False
Adam Kinzinger,IL,16,house,2024,R,https://www.electadam.com,True,False
Adam L Wool,AK,00,house,2022,D,https://adamwool.com,True,True
Adam Laxalt,NV,00,senate,2022,R,https://www.adamlaxalt.com,True,True
Adam Laxalt,NV,00,senate,2024,R,https://www.adamlaxalt.com,True,True
Adam Martin,OK,01,house,2022,D,https://www.martinforcongress.com,True,True
Adam Martin,OK,01,house,2024,D,https://www.martinforcongress.com,True,True
Adam Metzendorf,AZ,01,house,2022,D,http://metzendorfforcongress.com/,True,True
Adam Metzendorf,AZ,01,house,2024,D,http://metzendorfforcongress.com/,True,False
Adam Morgan,AZ,09,house,2022,R,https://www.morgan4az.com,True,True
Adam Morgan,AZ,09,house,2024,R,https://www.morgan4az.com,True,False
Adam Morgan,SC,04,house,2024,R,https://voteadammorgan.com,True,True
Adam Noel Schwarze,MN,03,house,2022,R,https://schwarzeforcongress.com,True,True
Adam Noel Schwarze,MN,03,house,2024,R,https://schwarzeforcongress.com,True,False
Adam Roger Hattersley,FL,15,house,2020,D,https://www.hattersleyforcongress.com,True,True
Adam Roger Hattersley,FL,15,house,2022,D,https://www.hattersleyforcongress.com,True,False
Adam Sackrin,FL,27,house,2018,D,https://www.adamsackrin.com,True,False
Adam Schiff,CA,28,house,2018,D,https://adamschiff.com/,True,True
Adam Schiff,CA,28,house,2020,D,https://adamschiff.com/,True,True
Adam Schiff,CA,30,house,2022,D,https://adamschiff.com/,True,True
Adam Schiff,CA,30,house,2024,D,https://adamschiff.com/,True,True
Adam Schiff,CA,00,senate,2024,D,https://adamschiff.com/,True,True
Adam Schleifer,NY,17,house,2020,D,https://www.adamschleifer.com/,True,True
Adam Schleifer,NY,17,house,2022,D,https://www.adamschleifer.com/,True,False
Adam Slate,VA,05,house,2018,D,https://www.slateforcongress.com,True,False
Adam Smith,KS,00,senate,2020,D,https://adamsmith.house.gov,True,True
Adam Thomas Jennings,MN,03,house,2018,D,https://jenningsforcongress.com,True,True
Adam Thomas Jennings,MN,03,house,2020,D,https://jenningsforcongress.com,True,False
Adam Thomas Mr Medeiros,CA,21,house,2022,R,https://medeirosforcongress.com,True,True
Adam Thomas Mr Medeiros,CA,21,house,2024,R,https://sampalmerforsenate.com/,True,True
Adan Joseph Barajas,CA,06,house,2024,D,https://adambarajasforcongress.com,True,False
Addie Dainell Allen,TX,00,senate,2012,D,https://www.addiedallenforussenate2012.com,True,True
Addie Dainell Allen,TX,00,senate,2014,D,https://www.addiedallenforussenate2012.com,True,True
Addie Dainell Allen,TX,00,senate,2016,D,https://www.addiedallenforussenate2012.com,True,False
Addison Mcdowell,NC,06,house,2024,R,https://www.mcdowellfornc.com,True,True
Addul Rahman El Ali,NC,12,house,2024,R,https://aliforcongress.com,True,True
Adela Dawnise Wisdom,MO,03,house,2020,R,https://www.adelawisdom.com,True,True
Adela Dawnise Wisdom,MO,03,house,2022,R,https://www.adelawisdom.com,True,False
Adem Bunkeddeko,NY,09,house,2018,D,https://www.ademforcongress.com,True,True
Adianis Morales,FL,09,house,2022,R,https://moralesforcongress.com,True,True
Adianis Morales,FL,09,house,2024,R,https://moralesforcongress.com,True,True
Adina Safta,NC,02,house,2022,R,https://www.adinaforcongress.com,True,True
Adina Safta,NC,02,house,2024,R,https://www.adinaforcongress.com,True,False
Aditya Atholi,TX,01,house,2022,R,https://atholiforcongress.com,True,True
Aditya Pai,CA,45,house,2020,D,https://paifor45.com,True,False
Adolfo Areola Zubia,NM,02,house,2018,D,https://zubiaforcongress.com,True,True
Adrian Deleon,TX,23,house,2018,D,https://amanda8456@sbcglobal.net,False,False
Adrian Garcia,TX,29,house,2018,D,https://www.adriangarcia.com,True,True
Adrian Garcia,TX,29,house,2020,D,https://www.adriangarcia.com,True,True
Adrian Lino Tonon,MI,13,house,2022,D,https://tononforcongress.com,True,True
Adrian Mr Kaiser,TX,38,house,2022,R,https://none yet,False,False
Adrian Mr Kaiser,TX,38,house,2024,R,https://none yet,False,False
Adrian Perkins,LA,00,senate,2020,D,https://perkinsforla.com,True,True
Adrian Perkins,LA,00,senate,2022,D,https://perkinsforla.com,True,False
Adrian Pokharel,VA,10,house,2024,D,https://adrianpokharel.com,True,True
Adrian Smith,NE,03,house,2018,R,https://www.joinadrian.com,True,True
Adrian Smith,NE,03,house,2020,R,https://www.joinadrian.com,True,False
Adrian Smith,NE,03,house,2022,R,https://www.joinadrian.com,True,True
Adrian Smith,NE,03,house,2024,R,https://www.joinadrian.com,True,True
Adriano Espaillat,NY,13,house,2018,D,http://www.nysenate.gov/senator/adriano-espaillat/,True,False
Adriano Espaillat,NY,13,house,2020,D,https://www.adrianoespaillat.com,True,True
Adriano Espaillat,NY,13,house,2022,D,https://www.adrianoespaillat.com,True,True
Adriano Espaillat,NY,13,house,2024,D,https://www.adrianoespaillat.com,True,True
Adriel Lam,HI,00,senate,2024,R,https://lam4aloha.com,True,True
Adrienne Bell,TX,14,house,2018,D,https://bell2018.com,True,True
Adrienne Bell,TX,14,house,2020,D,https://bell2018.com,True,True
Adrienne Bell,TX,14,house,2022,D,https://www.voteforbell.com,True,True
Adrienne Bennett,ME,02,house,2020,R,https://adrienne2020.com,True,True
Adrienne Bennett,ME,02,house,2022,R,https://adrienne2020.com,True,False
Adrienne Foster,KS,03,house,2020,R,https://www.adrienneforkansas.com,True,True
Adrienne Foster,KS,03,house,2022,R,https://www.adrienneforkansas.com,True,True
Aejaz ( Raji ) Rab,CA,00,senate,2024,D,https://www.rajirabforussenate.com,True,True
Aejaz (Raji) Rab,CA,30,house,2018,D,https://www.rabforcongress.com,True,True
Aejaz (Raji) Rab,CA,30,house,2020,D,https://www.rabforcongress.com,True,True
Aejaz (Raji) Rab,CA,32,house,2022,D,https://www.rabforcongress.com,True,True
Aejaz (Raji) Rab,CA,32,house,2024,D,https://www.rabforcongress.com,True,True
Aftab Pureval,OH,01,house,2018,D,https://aftabforohio.com,True,True
